,ID,Word,Lemme,Stemme,stopword
0,1,great,['great'],['great'],False
1,1,projector,['projector'],['projector'],False
2,2,a,['a'],['a'],True
3,2,little,['little'],['littl'],False
4,2,projector,['projector'],['projector'],False
5,2,that,['that'],['that'],True
6,2,packs,['pack'],['pack'],False
7,2,a,['a'],['a'],True
8,2,punch,['punch'],['punch'],False
9,3,well,['well'],['well'],False
10,3,thoughtout,['thoughtout'],['thoughtout'],False
11,3,highquality,['highquality'],['highqual'],False
12,4,truly,['truly'],['truli'],False
13,4,amazing,['amazing'],['amaz'],False
14,4,piece,['piece'],['piec'],False
15,4,of,['of'],['of'],True
16,4,hardware,['hardware'],['hardwar'],False
17,4,im,['im'],['im'],False
18,4,blown,['blown'],['blown'],False
19,4,away,['away'],['away'],False
20,5,awesome,['awesome'],['awesom'],False
21,5,little,['little'],['littl'],False
22,5,projector,['projector'],['projector'],False
23,6,amazing,['amazing'],['amaz'],False
24,6,,[],[],False
25,6,perfect,['perfect'],['perfect'],False
26,6,if,['if'],['if'],True
27,6,you,['you'],['you'],True
28,6,have,['have'],['have'],True
29,6,a,['a'],['a'],True
30,6,baby,['baby'],['babi'],False
31,6,in,['in'],['in'],True
32,6,a,['a'],['a'],True
33,6,crib,['crib'],['crib'],False
34,6,like,['like'],['like'],False
35,6,i,['i'],['i'],True
36,6,do,['do'],['do'],True
37,7,awesome,['awesome'],['awesom'],False
38,7,simple,['simple'],['simpl'],False
39,7,to,['to'],['to'],True
40,7,use,['use'],['use'],False
41,8,take,['take'],['take'],False
42,8,note,['note'],['note'],False
43,8,adding,['adding'],['ad'],False
44,8,a,['a'],['a'],True
45,8,usbc,['usbc'],['usbc'],False
46,8,to,['to'],['to'],True
47,8,hdmi,['hdmi'],['hdmi'],False
48,8,for,['for'],['for'],True
49,8,mobile,['mobile'],['mobil'],False
50,8,devices,['device'],['devic'],False
51,8,lighting,['lighting'],['light'],False
52,8,cord,['cord'],['cord'],False
53,8,iphone,['iphone'],['iphon'],False
54,8,will,['will'],['will'],True
55,9,works,['work'],['work'],False
56,9,as,['a'],['as'],True
57,9,advertised,['advertised'],['advertis'],False
58,10,really,['really'],['realli'],False
59,10,frickin,['frickin'],['frickin'],False
60,10,cool,['cool'],['cool'],False
61,11,the,['the'],['the'],True
62,11,amazing,['amazing'],['amaz'],False
63,11,little,['little'],['littl'],False
64,11,projector,['projector'],['projector'],False
65,12,everything,['everything'],['everyth'],False
66,12,they,['they'],['they'],True
67,12,say,['say'],['say'],False
68,12,it,['it'],['it'],True
69,12,can,['can'],['can'],True
70,12,do,['do'],['do'],True
71,12,it,['it'],['it'],True
72,12,does,['doe'],['doe'],True
73,12,and,['and'],['and'],True
74,12,does,['doe'],['doe'],True
75,12,it,['it'],['it'],True
76,12,well,['well'],['well'],False
77,13,it,['it'],['it'],True
78,13,does,['doe'],['doe'],True
79,13,what,['what'],['what'],True
80,13,it,['it'],['it'],True
81,13,do,['do'],['do'],True
82,14,best,['best'],['best'],False
83,14,invention,['invention'],['invent'],False
84,14,ever,['ever'],['ever'],False
85,15,the,['the'],['the'],True
86,15,bombdiggity,['bombdiggity'],['bombdigg'],False
87,16,best,['best'],['best'],False
88,16,smart,['smart'],['smart'],False
89,16,projector,['projector'],['projector'],False
90,16,i have,"['i', 'have']","['i', 'have']",False
91,16,owned,['owned'],['own'],False
92,17,convenient,['convenient'],['conveni'],False
93,18,great,['great'],['great'],False
94,18,customer,['customer'],['custom'],False
95,18,service,['service'],['servic'],False
96,18,great,['great'],['great'],False
97,18,projector,['projector'],['projector'],False
98,19,best,['best'],['best'],False
99,19,projector,['projector'],['projector'],False
100,19,ever,['ever'],['ever'],False
101,20,so,['so'],['so'],True
102,20,happy,['happy'],['happi'],False
103,20,with,['with'],['with'],True
104,20,my,['my'],['my'],True
105,20,purchase,['purchase'],['purchas'],False
106,21,small,['small'],['small'],False
107,21,devicepacks,['devicepacks'],['devicepack'],False
108,21,a,['a'],['a'],True
109,21,big,['big'],['big'],False
110,21,punch,['punch'],['punch'],False
111,22,it is,"['it', 'is']","['it', 'is']",False
112,22,more,['more'],['more'],True
113,22,like,['like'],['like'],False
114,22,a,['a'],['a'],True
115,22,portable,['portable'],['portabl'],False
116,22,smart,['smart'],['smart'],False
117,22,tv,['tv'],['tv'],False
118,22,📺,['📺'],['📺'],False
119,23,as,['a'],['as'],True
120,23,advertised,['advertised'],['advertis'],False
121,24,exactly,['exactly'],['exactli'],False
122,24,what,['what'],['what'],True
123,24,i,['i'],['i'],True
124,24,was,['wa'],['wa'],True
125,24,looking,['looking'],['look'],False
126,24,for,['for'],['for'],True
127,25,a,['a'],['a'],True
128,25,theater,['theater'],['theater'],False
129,25,in,['in'],['in'],True
130,25,a,['a'],['a'],True
131,25,can,['can'],['can'],True
132,25,without,['without'],['without'],False
133,25,cables,['cable'],['cabl'],False
134,26,picture,['picture'],['pictur'],False
135,26,and,['and'],['and'],True
136,26,sound,['sound'],['sound'],False
137,26,quality,['quality'],['qualiti'],False
138,26,is,['is'],['is'],True
139,26,great,['great'],['great'],False
